Gene	WT-Com1	WT-Com2	WT-Com3	WT-Q1	WT-Q2	WT-Q3	p53-Com1	p53-Com2	p53-Com3	p53-Q1	p53-Q2	p53-Q3
Camkmt	2.40449	2.02612	2.00529	0.829351	0.818949	0.602364	2.0633	1.79369	2.13037	1.49727	1.37103	1.33579
Camkv	0	0	0	0	0.00845228	0.030103	0.00783658	0.0211135	0.0082229	0.0293133	0.10195	0.0510262
Caml	19.6269	19.2866	19.6234	15.1247	14.5734	14.9	13.2378	11.827	11.9676	17.696	17.1206	18.319
Camp	0.127421	0.0811239	0.0408252	0	0	0.152324	0.158615	0.17806	0.124826	0.111246	0.27778	0.110656
Camsap1	7.12781	7.23724	7.46881	16.5456	16.9183	16.6125	12.7262	12.5999	12.8446	23.3679	23.6865	23.5036
Camsap2	10.937	10.6032	10.6876	14.2927	13.8525	13.8444	10.3931	10.6617	10.5805	16.0224	16.4169	15.8244
Camsap3	0	0.0113113	0.0113847	0.0432136	0.0596342	0.0212389	0.0276451	0.0248273	0.0290079	0.0258521	0.0663968	0.087431
Camta1	0.735378	0.826352	0.836428	0.286186	0.31101	0.290104	0.354722	0.351451	0.360203	0.282494	0.256503	0.268223
Camta2	4.70291	4.43372	4.39408	2.60243	2.64623	2.63595	4.64113	4.85207	5.05233	4.2493	4.51154	4.37421
Cand1	24.7567	25.1697	25.1097	21.1514	21.4807	21.3712	26.2324	26.6483	26.8212	26.8851	26.324	26.4868
Cand2	6.98444	7.13794	6.88828	1.98918	2.10476	2.33	4.6608	4.59649	4.66204	4.10597	4.03651	3.82488
Cant1	16.8213	17.3778	16.8333	13.1186	13.0091	13.2418	15.8424	15.9288	15.7703	15.0999	15.4182	15.4251
Canx	121.444	121.792	118.637	152.777	147.78	147.704	156.565	160.017	158.541	188.873	192.226	191.831
Cap1	111.97	112.285	110.13	77.043	77.8824	77.5052	57.0689	57.7677	56.997	58.8177	60.1055	60.4586
Cap2	0.904159	1.0428	1.29692	0.94251	0.945475	0.879248	0.759722	0.676454	0.579144	0.63151	0.734286	0.863721
Capg	92.0161	90.9153	90.9919	14.7339	13.9787	14.3742	6.66608	6.93247	7.26775	3.23274	3.3355	3.4807
Capn1	20.4218	20.9929	20.5808	9.88192	9.84262	10.1638	14.5727	14.5709	13.9068	9.88356	9.99631	9.90627
Capn10	3.54581	3.54231	4.10844	5.45155	5.18532	5.12773	4.52364	3.91401	4.85654	4.84274	5.00847	5.09907
Capn11	0.0197605	0.00943558	0.0379873	0.030898	0.00994908	0.0177169	0.00922433	0.0248524	0	0.00862607	0.0092311	0.025741
Capn12	0.057928	0.0923213	0.101344	0.0302794	0.019471	0.0781	0.125349	0.169442	0.160652	0.0923814	0.0894248	0.125548
Capn15	5.54021	5.52733	5.38471	8.7354	9.15516	9.57377	8.06926	8.29131	8.23965	9.46448	9.40537	9.87122
Capn2	42.7036	43.1389	42.8968	17.0116	16.2079	16.5511	87.6126	88.5681	87.0722	67.8359	67.7055	67.8993
Capn3	0	0	0.014022	0.0152069	0.00734486	0	0.0136196	0	0.0214366	0.0127363	0.00681481	0.0190032
Capn5	3.26033	3.07634	3.16057	0.331147	0.376005	0.439722	2.99704	2.86447	2.64251	1.05587	1.0362	0.919589
Capn6	0.673097	0.553905	0.626327	0.17168	0.237946	0.231123	0.414485	0.336215	0.329696	0.168795	0.160563	0.149244
Capn7	17.3469	16.5662	16.7012	18.6636	17.3742	17.8013	18.3431	17.5098	17.6096	19.0247	18.7838	18.7563
Capn8	0	0	0	0	0.0138293	0.0123134	0	0	0	0	0	0
Capn9	0.0218383	0.0521387	0.0104954	0	0	0	0	0.0091552	0	0	0	0.00948255
Capns1	97.7279	95.6573	99.6641	56.1388	59.6938	58.1908	76.4404	76.4806	80.7142	73.4864	73.6706	74.271
Capns2	3.13321	2.70494	2.93933	0.365804	0.328123	0.269681	0.491434	0.609475	0.343774	0.175071	0.18735	0.217678
Caprin1	61.7925	61.9433	61.795	61.356	59.0049	59.9924	112.475	112.06	111.837	106.84	107.139	107.679
Caprin2	3.56473	4.00235	3.61158	1.84362	1.71162	1.77079	4.98567	5.57379	5.11013	6.15842	6.6996	6.80104
Caps2	0.304798	0.222591	0.275736	0.0560693	0.0180542	0.00803755	0.016739	0.0225493	0.0175642	0	0	0.00778518
Capza1	78.0013	80.6736	79.8927	58.5088	58.1589	58.7191	52.6851	51.7528	51.818	49.993	51.7915	51.1282
Capza2	87.8415	85.7355	85.5162	95.6137	90.0272	90.6909	95.9076	96.7227	93.6455	98.2769	99.5088	102.095
Capzb	131.555	131.293	132.632	76.3495	77.4793	76.4033	68.5296	68.1745	68.0747	54.9575	54.8934	54.4778
Car10	0	0	0	0	0	0	0	0	0	0.00665831	0.00712532	0
Car11	1.25441	1.18109	1.2397	0.497265	0.551517	0.491061	0.494847	0.385154	0.432702	0.308502	0.247605	0.260836
Car12	2.2525	2.22959	2.33619	2.8048	2.77838	2.96488	3.85436	4.0011	3.91696	3.83751	4.03629	3.80525
Car13	30.1117	30.2994	29.0707	10.0361	9.15994	9.65405	5.50682	5.63214	5.68072	2.95647	2.89501	3.34442
Car14	0.0323764	0.0153865	0.030899	0.0333166	0.0321908	0.014299	0	0.0138532	0.0322129	0.10036	0.0467426	0.127487
Car15	0.115121	0.153915	0.177045	1.24804	1.22878	1.32115	0.558886	0.501921	0.270664	1.78903	1.33371	1.49962
Car2	0.0284264	0.108588	0.0409849	0	0	0	0.145966	0.0953369	0.167086	0.037227	0.0663968	0.0987456
Car5a	0	0	0.019642	0.0308538	0.0228226	1.50E-19	0.0190784	0.0171338	0	0.0217998	0.0543367	4.11E-26
Car5b	10.7255	10.4964	11.0324	0.861214	1.07705	0.859777	5.14446	4.65102	5.0223	1.81613	1.6954	1.9218
Car6	0.223009	0.141982	0.267943	89.0936	87.9537	89.8926	8.95279	10.0347	9.17568	11.6983	10.4873	10.684
Car7	0.224416	0.214316	0.124883	0.196997	0.214085	0.275336	0.782934	0.614002	0.462834	1.0312	1.1256	0.994963
Car8	0	0	0	0	0	0	3.29598	3.23591	3.2581	0.749203	0.685435	0.737508
Car9	0.66234	0.409284	0.599186	0.3926	0.457713	0.360963	0.484996	0.392005	0.445292	0.430863	0.44895	0.451135
Card10	1.03854	0.945553	1.04996	1.48086	1.54428	1.56316	7.52569	7.54818	7.95468	7.24901	7.37536	7.19187
Card11	0	0	0	0	0	0	0	0	0	0.00540178	0	0.00537314
Card14	0.00802754	0.00753211	8.34E-38	0.0338762	0.00799888	2.08E-28	0.0449691	0.0275491	6.28E-31	0.00717624	0.0233461	0.0141588
Card19	25.3783	26.0796	27.5263	7.3229	6.81895	6.69564	16.81	16.4498	16.8327	15.112	13.6589	13.6578
Card6	3.08826	3.27101	3.38399	1.75596	1.80367	1.76202	0.251628	0.291892	0.253032	0.186286	0.115414	0.151164
Card9	0.0315849	0.0301634	0	0.0987739	0.0318049	0.0707963	0.014744	0.0132412	0.0618836	0.0551512	0.147549	0.0685734
Carf	2.83026	2.81622	2.73732	1.68132	1.60644	1.61947	1.62071	1.60291	1.46812	0.918259	0.96082	0.862553
Carhsp1	35.8094	36.0739	34.7888	35.8482	38.3699	37.1822	17.0746	16.6445	16.2454	27.3422	26.6485	27.9107
Carlr	0	0	0	0	0	0	0	0	0	0.00863949	0	0
Carm1	38.3301	38.0186	38.1129	42.0951	43.9243	43.3604	42.4837	41.7619	41.9173	45.0317	46.2968	46.4753
Carmil1	14.2466	14.0313	14.4906	9.62951	9.77132	10.1296	5.17553	5.11285	5.24805	6.0049	6.28393	5.84517
Carmil2	0.152406	0.145547	0.0878948	0.423655	0.368322	0.337057	0.445837	0.425951	0.457862	0.345956	0.284785	0.308827
Carmil3	0.0940643	0.0475575	0.0585031	0.0692148	0.0891479	0.0545707	2.91872	2.87174	3.31195	1.74393	1.67497	1.67221
Carmn	1.59362	1.66513	1.71198	0.859922	0.887315	0.958144	1.20776	1.57197	1.41424	1.11306	1.20865	1.05831
Carnmt1	22.0761	20.3052	20.7756	25.5962	24.1263	22.5927	26.3162	26.7715	25.733	23.5275	24.2014	23.9936
Carns1	0.90405	1.09604	1.1463	0.133673	0.200147	0.103475	0.251414	0.284923	0.27009	0.263097	0.233627	0.217157
Cars	18.7773	19.2063	18.8224	32.2261	32.5536	33.2169	38.1649	38.7885	38.2212	41.4328	41.0097	41.8705
Cars2	5.89971	6.65858	5.96156	4.57304	5.01299	5.31424	9.82205	9.52428	9.59222	9.40114	9.07117	8.64665
Cartpt	0	0	0	0	0	0	0	0	0	0	0.0543316	0
Casc1	0.0401604	0.0575295	0	0.0837278	0.0555772	0.0720144	0.112483	0.0841816	0.0590141	0.113953	0.159468	0.0784724
Casc3	19.8424	19.7547	19.6673	23.0201	23.1548	23.0243	22.7306	23.4965	23.3697	25.1656	25.1546	24.7919
Casc4	12.7442	11.8859	11.8228	16.9211	16.8455	16.1941	20.9375	21.0821	19.9719	28.5525	29.2888	28.8836
Casd1	1.5901	1.68655	1.67798	3.0118	2.86168	2.88165	9.87378	9.33826	8.96189	6.75225	6.78964	6.70469
Cask	7.65588	7.84038	7.62216	8.31369	7.86543	8.04554	10.8322	10.6545	10.9339	10.5733	10.6754	10.9479
Caskin1	0.0989872	0.0787794	0.0832793	0.244964	0.199475	0.225575	0.269679	0.314663	0.379813	0.825312	0.878716	0.870086
Caskin2	6.06138	6.06643	5.99187	8.26177	8.80547	8.70009	7.02721	7.20541	7.13084	10.4851	10.4755	10.5138
Casp1	0	0.0321171	0	0.0175286	0	0.0150764	0.015699	0	0	0	0	0
Casp12	9.95203	9.69999	9.63152	2.28048	2.09475	2.1716	0.993873	0.827061	0.774976	0.349596	0.583986	0.330779
Casp14	0	0.0208465	0	0	0	0	0	0	0	0	0	0
Casp2	11.196	10.7817	11.8633	20.1104	20.2686	19.9407	11.9201	11.636	12.0133	21.8597	21.2038	22.6015
Casp3	46.0874	45.279	45.0671	35.168	33.599	33.4118	25.1542	25.4262	25.0955	29.8205	31.1379	32.2188
Casp4	7.33453	6.97075	6.40591	13.3799	12.5698	12.583	0.345673	0.340005	0.32817	0.938974	0.905997	0.627767
Casp6	14.782	15.0062	15.1534	3.73988	3.57796	3.83527	8.59927	9.05329	8.51627	6.52058	5.88209	6.60583
Casp7	2.98931	3.50641	3.34177	6.55963	5.95483	6.5062	1.84035	1.95245	1.86741	1.66426	1.8417	1.84355
Casp8	8.92916	9.36348	8.96367	8.47054	8.7305	8.89326	11.371	10.7938	10.8292	15.6941	15.5094	15.8161
Casp8ap2	10.5046	10.4993	10.5493	19.0671	18.0672	18.4416	8.07788	7.81798	8.05179	12.0368	12.1871	12.4371
Casp9	8.92651	8.87359	8.71173	2.66635	3.14076	3.38153	3.66126	3.88989	4.12302	4.12454	4.17607	4.40866
Casq1	0.0135761	0.0129651	0	0.0566079	0.0410121	0.0608606	0.164773	0.102446	0.0797981	0.130381	0.088789	0.0943195
Casq2	0.02024	0	0.00972725	0	0	0	0.00944815	0.00848513	0.00991393	0.0176708	0	0
Cass4	0.0342787	0.00654719	0.00658968	0.53599	0.503955	0.473299	0.10241	0.0977197	0.0604453	0.293289	0.294644	0.351271
Cast	46.4267	45.589	46.1954	45.8161	45.1331	44.6828	20.5306	20.9813	20.4768	18.9416	18.8325	19.0038
Casz1	0.0568695	0.074319	0.106448	0.237127	0.207965	0.27641	0.511381	0.494392	0.551251	0.321423	0.327188	0.317119
Cat	31.3857	30.9256	30.8387	12.8393	13.3467	13.2249	30.4846	31.3327	31.0006	24.5108	24.9535	24.8659
Catip	0.16953	0.231286	0.18623	0.0378688	0.0487746	0.032571	0.101749	0.0913777	0.0830392	0.126866	0.169705	0.220838
Catsper1	0	0	0	0	0	0	0	0.0103501	0	0	0	0
Catsper2	0.532157	0.443329	0.565921	2.38416	2.45129	2.15213	0.930233	1.0063	0.732069	2.05613	1.96762	2.15339
Catsper3	0.0752711	0.0898543	0.0904375	0.0392319	0.0378977	0.0337434	0.0527056	0.0473335	0	0.0492873	0.0703257	0.0326839
Catsper4	0	0	0	0	0	0	0	0	0	0.0128617	0	0.0127935
Catsperb	0	0	0	0	0	0	0	0	0.00670711	0	0	0.00594573
Catsperd	0.0991877	0.0947236	0.0858046	1.19938	1.05871	1.04048	0.518577	0.623732	0.67046	2.44204	2.46504	2.71334
Catsperg1	0.03814	0.0204402	0.0382263	0.0156432	1.97E-15	0.00639668	0.0133217	0.045145	2.56E-10	1.58E-30	2.22E-24	0.0247833
Catsperg2	0.0106354	9.62E-14	0.021171	0.0127115	0.0258973	0.0172938	0.0120054	0.0132245	0.0503889	0.0224535	0.0180213	5.47E-35
Cav1	125.169	125.501	124.803	17.6646	18.2026	18.0702	99.5832	97.3934	96.5202	78.704	81.1467	80.456
Cav2	39.3472	37.8084	38.0611	8.05917	7.71623	7.15639	24.0291	24.5726	22.6397	26.0642	25.8206	27.0144
Cav3	0	0	0	0	0	0	0	0	0	0.019198	0	0
Cbarp	1.20325	1.20074	1.35815	1.21496	1.32426	1.33572	5.94195	6.24277	5.91339	5.94998	5.45818	5.65593
Cbfa2t2	8.66185	8.31203	8.56309	7.64645	7.9089	8.04757	14.5411	14.3602	14.6425	20.1187	20.8417	19.6821
Cbfa2t3	0	0	0	0.00666017	0	0	0.0864926	0.0857122	0.0625907	0.0446251	0.0746173	0.049937
Cbfb	44.8756	44.249	43.9879	83.5414	75.0391	74.8949	44.7252	44.382	43.9765	53.0652	53.9031	52.1648
Cbl	6.77209	6.65372	7.02406	7.16891	6.95031	7.29238	6.90196	7.07557	6.64891	9.66619	9.03945	9.25415
Cblb	6.31815	5.97615	6.25476	5.64227	5.40582	5.63589	3.29126	3.33707	3.23274	4.07211	4.26372	4.11342
Cblc	0.0306157	0.0438567	0	0	0	0.0137248	0.0142916	0.0256698	0	0.0133647	0.0143021	0
Cbll1	3.40323	3.3774	3.39322	6.63183	6.30406	6.3189	5.15127	5.16392	4.98221	8.44793	9.09991	9.31852
Cbln2	0	0	0	0	0.00955215	0	0	0	0	0.00828193	0	0
Cbln3	0.166989	0.195484	0.176042	0.0561524	0.0705156	0.0627858	0.100583	0.13098	0.100264	0.0752475	0.0754925	0.0748485
Cbr1	11.3911	11.8898	11.4693	9.71529	9.66929	9.72772	0.241701	0.276265	0.299729	0.267121	0.571713	0.531409
Cbr2	57.5863	60.0871	61.8902	1.8962	1.75644	1.54156	2.07051	2.67429	2.05052	0.0870211	0.0232812	0.108199
Cbr3	0.959239	1.10345	0.880103	0.522689	0.39515	0.37138	1.62829	1.88274	1.81534	1.99852	1.89427	1.38208
Cbr4	12.139	11.8323	11.7556	5.35173	5.12377	5.27814	4.75053	4.84027	5.40943	3.84479	4.09314	4.41887
Cbs	0.223618	0.116484	0.24425	0.307272	0.184235	0.246059	0.332139	0.28124	0.418215	0.319471	0.322885	0.30895
Cbwd1	6.93287	6.68128	6.91918	10.9723	11.0578	11.0479	10.3587	10.1195	9.5803	15.4853	16.1224	15.9529
Cbx1	21.1481	21.4359	20.7113	41.509	42.0077	40.9301	32.2171	30.9091	32.6511	41.7219	41.9615	42.3504
Cbx2	6.94171	7.05657	6.7896	12.953	13.0449	13.8456	10.2593	10.5777	10.5392	14.743	14.466	15.3948
Cbx3	160.82	155.644	155.84	152.711	146.225	145.934	125.811	123.234	120.236	115.656	114.935	119.001
Cbx4	4.37163	4.10476	4.55959	4.7867	5.04786	4.83248	4.32822	4.66283	4.51282	4.03896	4.00208	4.32364
Cbx5	53.8091	55.7515	54.6067	54.5849	54.291	54.5029	71.7148	71.0529	71.8274	73.083	72.2314	72.0777
Cbx6	23.1944	23.0285	22.4183	32.5914	32.3906	33.1049	42.8508	42.4875	42.4408	35.5341	36.5945	36.8559
Cbx7	1.17842	1.0582	1.51307	0.687542	0.717293	0.685972	0.0328416	0.0147471	0.0516909	0.0307116	0.0575149	0.0229115
Cbx8	4.31028	3.80234	3.91479	4.436	4.00927	4.73241	6.05326	5.29845	5.15291	4.99095	5.49459	5.15482
Cby1	13.6416	14.7864	12.2818	12.3479	12.8667	12.3328	13.1818	12.8485	12.7402	17.1901	18.1409	17.869
Cc2d1a	17.8974	17.587	17.3887	9.75978	10.9083	10.1565	12.6204	12.7224	12.3026	11.0993	11.6826	11.363
Cc2d1b	28.5464	29.3763	27.9818	23.4781	23.7789	24.4627	19.3289	18.8258	18.1959	8.88891	9.51237	8.57954
Cc2d2a	19.7594	19.9046	19.953	6.40023	6.51638	6.4258	6.15503	6.21667	6.22519	4.5533	4.62402	4.58187
Ccar1	18.0841	18.0678	17.7482	41.8067	40.9055	40.624	22.8032	23.5086	23.0758	41.086	41.6799	41.1099
Ccar2	16.9245	16.7859	16.1356	13.2819	13.2867	12.6431	16.7692	16.8338	17.3537	16.1194	16.5826	16.183
Ccbe1	1.43558	1.42598	1.43949	0.235556	0.16062	0.254245	0.0868697	0.0594403	0.0781305	0.0696305	0.0579556	0.0808048
Ccdc102a	12.2791	12.0429	11.6646	4.59279	4.4366	4.8413	6.45363	6.60132	6.38235	4.93603	5.14812	4.90026
Ccdc103	0.537101	0.256464	0.298886	0.0736689	0.0569308	0.10138	0.316702	0.355527	0.304622	0.271482	0.184878	0.208669
Ccdc105	0	0	0	0	0	0	0	0	0	0	0	0.0128605
Ccdc106	0.255267	0.383081	0.257045	0.380136	0.293766	0.316056	0.181578	0.16307	0.321518	0.37144	0.386136	0.274464
Ccdc107	21.566	22.5356	21.2999	19.4833	20.4888	21.1572	16.6327	17.1649	17.6364	16.6182	16.0609	17.9958
Ccdc108	0	0	0	0.00463812	0	0	0	0.00373061	0	0	0	0
Ccdc109b	28.4914	27.7068	26.7365	3.21952	2.81846	3.21909	9.13701	9.06355	8.98232	7.06135	7.25005	7.81178
Ccdc110	0.00968836	0.0370093	0.0558743	0	0	0	0	0	0.00949109	0	0	0
Ccdc112	2.93383	2.90588	3.0557	3.71158	3.3567	3.28192	4.17219	4.10487	3.64823	5.1149	5.5076	5.40329
Ccdc114	0.0103716	0	0	0	0	0.00929904	0.0774649	0.060873	0.0304814	0	0.0096902	0.0180141
Ccdc115	6.44621	5.98509	5.69405	15.0259	13.2226	15.3854	4.80626	5.00449	5.42326	7.56906	8.16965	7.83993
Ccdc116	0.0478359	0.0574393	0.0521911	0.281503	0.308006	0.211721	0.0390577	0.0601314	0.0878211	0.0690106	0.0446701	0.0471412
Ccdc117	9.66498	9.12284	9.067	25.9047	25.7545	27.0024	11.7681	11.8042	11.2929	20.9516	21.1631	21.5356
Ccdc12	10.1333	10.4762	9.91873	21.5138	21.8119	23.5607	13.4531	13.2251	14.3592	12.797	12.4786	12.783
Ccdc120	2.57141	2.49572	2.47834	1.50049	1.48464	1.86694	4.69704	4.59324	4.53157	5.14277	5.3468	4.96379
Ccdc122	2.75082	2.48033	2.68434	2.22705	2.0107	2.17839	4.95391	5.10461	4.73303	4.74231	4.90536	4.65655
Ccdc124	44.1808	40.8322	43.6473	44.4536	46.8789	48.0749	16.7651	16.8124	17.8378	16.97	16.6469	16.1039
Ccdc125	0.0866219	0.101533	0.0938915	0.0819328	0.128314	0.180931	0.208591	0.112758	0.134035	0.185266	0.172999	0.117577
Ccdc126	1.74157	1.62312	1.6639	0.885849	0.950804	1.0253	2.24304	2.40146	2.39472	2.13419	2.15646	2.12288
Ccdc127	9.58602	9.36674	9.23666	12.8979	12.6734	12.6521	4.94235	4.72717	4.73972	6.37731	6.81298	6.65086
Ccdc13	0	0.00920326	0.00926299	0	0.0194082	0	0.00899722	0	0.00944076	0.00841369	0	0.00836907
Ccdc130	5.75928	5.52245	5.7387	9.51281	10.1815	10.3483	3.31814	3.26514	3.48173	5.79625	5.76442	6.22391
Ccdc134	4.0895	4.27232	4.08565	14.1066	15.3366	15.1996	5.03285	4.77961	5.35379	10.6246	10.9414	11.0526
Ccdc136	0.736066	0.814296	0.686486	0.501396	0.682485	0.679547	13.6759	13.5895	13.122	12.2355	12.3311	11.5946
Ccdc137	4.54611	4.72899	4.41401	34.1627	35.2109	35.1046	10.3482	10.6619	11.0571	34.7472	35.513	36.1566
Ccdc138	1.40311	1.28084	1.41807	0.526974	0.488275	0.508751	1.34849	1.25429	1.0309	1.24301	1.08922	1.17371
Ccdc14	3.54956	3.44897	3.42968	3.04792	3.24992	2.99364	3.63201	3.36569	3.73217	4.1374	4.52598	4.56735
Ccdc141	2.00591	1.88108	1.77351	1.02664	1.05244	0.998345	0.180143	0.232562	0.17721	0.224613	0.2291	0.240877
Ccdc142	1.31721	1.42876	1.25827	1.23747	1.4492	1.47259	2.55821	2.63151	2.73212	2.65495	2.46893	2.48552
Ccdc144b	0	0	0	0	3.02E-25	2.04E-25	8.69E-08	0.019537	1.93E-35	0	2.45E-25	2.68E-14
Ccdc146	0.0450427	0.0143385	0.0577263	0.00782555	0.0226783	0.0269231	0.028035	0.0818268	0.0367713	0.0262167	0.00701389	0.0195583
Ccdc148	0.468294	0.580716	0.584485	0.123861	0.0844578	0.144133	0.0195764	0.00586034	0.0136943	0	0	0.00606987
Ccdc149	0.222432	0.27102	0.375993	0.111936	0.0926821	0.116907	0	0.012862	0.0450834	0.0267858	0.0143323	0.0399656
Ccdc15	1.95594	1.99198	2.03959	1.64767	1.5335	1.50776	4.28559	4.23002	4.12212	6.64159	6.50727	6.71292
Ccdc150	0.0601457	0.0382925	0.0706586	0.0278653	0.0269176	0.023967	0.0436745	0.084049	0.0785614	0.0583455	0.0811691	0.0580361
Ccdc151	0.0809507	0.0993952	0.0889247	0.0120549	0.0232899	0.0103684	0.42107	0.319974	0.385183	0.383664	0.356551	0.361544
Ccdc152	0.0318817	0	0.0306445	0	0	0.0285847	0	0.0267314	0.0624652	0.0556695	0.0297871	0.110749
Ccdc153	0	0	0.0225178	0	0	0	0	0	0	0	0	0
Ccdc154	0.0211397	0.0201883	0.0101597	0.0110182	0.021287	0.0284303	0.0690771	0.0354493	0.0621278	0.0184563	0.0296262	0.0642544
Ccdc155	0	0.0109939	0.0110653	0.144004	0.197068	0.20643	0.182713	0.193046	0.157887	0.13066	0.236625	0.119969
Ccdc157	4.16435	3.93915	3.75193	1.67598	1.71057	1.65676	4.10378	4.16468	3.88961	5.1099	5.21556	5.24313
Ccdc158	0	0	0	0	0	0	0	0	0	0	0	0.00607655
Ccdc159	2.78293	2.95648	2.72242	0.532132	0.845671	1.06302	2.81342	2.62331	2.50043	1.50956	1.89238	2.00208
Ccdc162	0.0479729	0.0229069	0.0230556	0.0250039	0.0402559	0.0143372	0.0149294	0.0201115	0.0313308	0	0	0.0208306
Ccdc163	4.46381	4.56312	4.61288	6.90327	8.06129	7.12125	3.77616	3.16284	3.49013	3.51296	3.73977	3.96752
Ccdc166	0.147549	0.080519	0.121562	0.582271	0.424505	0.434667	0.0491977	0.0176733	0.0309738	0.0736111	0.039387	0.0640681
Ccdc167	4.10132	4.07133	4.24726	5.32922	5.39856	5.38828	3.05997	3.23132	2.94374	3.59446	3.67175	3.8906
Ccdc169	0.0688853	0.0438567	0.066212	0.143614	0.115609	0.102936	0.0571665	0.0513397	0.0599846	0.0534588	0.0715104	0.112998
Ccdc17	1.16019	1.13382	0.936784	0.708975	1.01111	0.851289	0.113676	0.123379	0.141078	0.0986365	0.0840064	0.0737955
Ccdc170	0.0709669	0.022591	0.056844	0.0123295	0	0.0636278	0.0220852	0.0694195	0.0579349	0.0413057	0.0442028	0.030815
Ccdc171	1.102	1.2994	1.22677	1.01394	1.13799	0.917463	0.59841	0.650556	0.644434	0.59396	0.530559	0.624989
Ccdc172	0.0234269	0	0	0	0	0	0	0	0	0	0	0
Ccdc173	0.970045	0.814098	0.706363	0.260458	0.266401	0.316264	0.617487	0.690105	0.878302	0.628766	0.837651	0.81689
Ccdc174	7.21112	8.24177	7.3349	18.0529	17.541	18.9547	9.26043	7.96445	9.02187	19.7849	19.982	19.0009
Ccdc177	0	0	0	0.0180865	0.0174714	0	0	0	0	0	0	0
Ccdc178	0.0152574	0.00728534	0.00733262	0	0.00768182	0	0	0	0	0.00666031	0	0
Ccdc18	4.32677	4.50246	4.65246	1.2073	1.27077	1.0531	2.56041	2.74375	2.38158	1.71229	1.65885	1.77438
Ccdc180	0.00500721	0.00478186	0.00481289	0	0.0100842	0	0	0	0.00490526	0.00437161	0.00467823	0
Ccdc181	3.31439	3.319	3.30185	1.73448	2.32407	2.12947	5.48717	5.56917	5.56049	5.5296	5.35328	5.7683
Ccdc182	0	0	0	0	0	0	0	0	0	0.0182216	0	0
Ccdc183	0.221232	0.19719	0.15594	0.0614975	0.103961	0.105788	0.123927	0.148394	0.101139	0.064383	0.0688988	0.115275
Ccdc184	0.0218477	0	0.0104999	0.0113872	0.0219999	0	0	0	0.0107014	0	0	0
Ccdc186	11.2797	11.9277	12.165	18.7109	18.4467	18.5367	9.85813	8.84558	9.31242	15.292	16.1315	15.8607
Ccdc187	0	0	0	0	0	0	0.0150954	0.0271136	0.0237594	0	0	0
Ccdc189	0.461382	0.481938	0.499983	0.1302	0.124557	0.208893	0.774107	0.837937	0.98291	0.489707	0.411953	0.534673
Ccdc190	0	0.0337453	0	0	0	0.0158407	0.0164949	0	0	0	0	0
Ccdc191	3.11473	2.87451	2.98043	1.98742	2.20816	2.00993	1.6887	1.67468	1.66249	1.5304	1.52029	1.33427
Ccdc22	15.0268	14.9703	15.8619	12.5996	12.901	13.672	27.8606	27.8124	27.5187	16.99	17.222	17.0464
Ccdc24	3.95229	3.86925	3.72255	5.30002	5.71975	5.41328	3.78263	3.28051	3.87182	3.91877	4.08229	3.89799
Ccdc25	7.87126	7.59337	7.89521	20.626	19.8325	20.6596	9.28988	9.22423	8.97563	13.445	13.4701	14.088
Ccdc27	0.0122081	0	0	0	0	0	0	0.0409436	0.023919	0	0.011406	0
Ccdc28a	1.09098	1.75036	1.32129	2.41098	2.50476	2.21063	1.6908	2.19536	1.94515	2.97178	3.03751	2.97497
Ccdc28b	4.20998	3.90481	3.3188	1.67334	1.64693	1.49355	0.876586	1.09198	0.860458	0.740404	0.481061	0.789083
Ccdc3	0	0	0	0	0	0	0.00893629	0.00802544	0.0281305	0	0.0178857	0
Ccdc30	0.0215973	0.0257816	0.0155694	0.00562835	0.0108739	0.00484095	0	0.00452708	0	0.00471395	0.00504458	0
Ccdc32	3.46931	3.79391	3.66161	4.65177	4.79498	4.39134	8.86597	8.00791	8.30343	12.0326	12.0121	11.6261
Ccdc33	0	0	0	0	0	0	0.0129196	0.0290068	0.027113	0	0	0
Ccdc34	12.1763	13.1008	12.8094	5.34498	5.47127	5.13484	19.7539	19.9567	19.3371	16.7205	16.8986	17.7265
Ccdc34os	0	0.0247925	0.0249534	0	0	0	0.121187	0.0435339	0.0762968	0.0453309	0.121276	0.0225452
Ccdc36	0	0	0	0	0	0	0	0.007443	0	0	0	0
Ccdc38	0.123592	0.198904	0.149454	0.27443	0.279942	0.320682	0.512276	0.31898	0.326725	0.523825	0.490084	0.229916
Ccdc39	0.409972	0.417405	0.522962	0.228578	0.194944	0.139793	0.757996	0.893689	0.778351	0.66234	0.685438	0.616741
Ccdc40	0.0204392	0.00487982	0.00491149	0.0266326	0.0102908	0.0183254	0.238528	0.244206	0.245282	0.138296	0.1289	0.128688
Ccdc43	14.0828	14.5548	14.2041	25.1183	24.6083	24.4914	21.5493	21.045	20.6238	30.5501	32.3116	31.8438
Ccdc47	41.8837	42.0061	40.6399	130.137	122.34	121.605	35.9415	36.0967	36.066	55.1361	55.8102	57.3317
Ccdc50	27.8127	27.6074	26.8429	38.9573	37.8459	38.6906	13.3693	13.6709	12.9536	15.9187	15.4164	15.9781
Ccdc51	2.96129	3.12197	3.07082	3.5184	3.64457	3.502	2.88361	3.07916	3.52487	3.66959	3.64931	3.61326
